_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2981;practical;['practical'];[('practical', ['A'])];['P62324000'];['practical'];[('practical', ['A'])];[('practical', 'A')];praktisch, auf die Praxis bezogen;[['praktisch'], ['auf die Praxis bezogen']];[''];[['17428'], ['03 2 17488 1846']];[''];[''];passiv;6/C3;III;a;;
2982;musical;['musical'];[('musical', ['A'])];['M224000'];['musical'];[('musical', ['A'])];[('musical', 'A')];musikalisch, Musik-;[['musikalisch'], ['Musik-'], ['Musik']];[''];[['68458'], ['684'], ['684']];[''];[''];aktiv;6/C3;III;a;Do you play a musical instrument?;
2983;fine art (no pl);['fine art'];[('fine', ['N 3sg']), ('art', ['N 3sg'])];['F500 F63'];['fine', 'be'];[('fine', ['N 3sg']), ('be', ['N 3sg'])];[('fine', 'N'), ('be', 'N')];schöne Künste;[['schöne Künste']];[''];['86 4682'];[''];[''];passiv;6/C3;III;s;;
2984;to sail;['to sail'];[('to', ['V TO']), ('sail', ['V INF'])];['T0 T400'];['sail'];[('sail', ['V INF'])];[('sail', 'V')];(auf dem Wasser) fahren/reisen, segeln;[['fahren'], ['reisen'], ['segeln']];[''];[['376'], ['786'], ['8456']];[''];[''];passiv;6/C3;III;v;;
2985;walking (no pl);['walking'];[('walking', ['N 3sg'])];['W425200'];['walking'];[('walking', ['N 3sg'])];[('walking', 'N')];Gehen, Spazierengehen;[['Gehen'], ['Spazierengehen']];[''];[['46'], ['8187646']];[''];[''];aktiv;6/C3;III;s;;
2986;horse-riding (no pl);['horse-riding'];[('horse-riding', ['N'])];['H62635200000'];['horse-riding'];[('horse-riding', ['N'])];[('horse-riding', 'N')];Reiten;[['Reiten']];[''];['726'];[''];[''];aktiv;6/C3;III;s;Jane loves horses. She goes horse-riding every week.;
2987;on foot;['on foot'];[('on', ['Prep']), ('foot', ['N 3sg'])];['O5 O300'];['on', 'foot'];[('on', ['Prep']), ('foot', ['N 3sg'])];[('on', 'Prep'), ('foot', 'N')];zu Fuß;[['zu Fuß']];[''];['8 38'];[''];[''];aktiv;6/C3;III;ph;I don’t have a bike, so I go to school on foot.;
2988;hiking (no pl);['hiking'];[('hiking', ['V PROG'])];['H25200'];['hike'];[('hike', ['V PROG'])];[('hike', 'V')];Wandern;[['Wandern']];[''];['36276'];[''];[''];passiv;6/C4;III;s;;
2989;bronze;['bronze'];[('bronze', ['A', 'N 3sg'])];['B65200'];['bronze'];[('bronze', ['A', 'N 3sg'])];[[('bronze', 'N')], [('bronze', 'A')]];Bronze(-), bronzefarben;[['Bronze'], ['bronzefarben']];[''];[['1768'], ['17683716']];[''];[''];passiv;6/C4;III;s/a;;
2990;canoe;['canoe'];[('canoe', ['N 3sg'])];['C5000'];['canoe'];[('canoe', ['N 3sg'])];[('canoe', 'N')];Kanu, Paddelboot;[['Kanu'], ['Paddelboot']];[''];[['46'], ['12512']];[''];[''];aktiv;6/C4;III;s;;
2991;bicycle;['bicycle'];[('bicycle', ['N 3sg'])];['B224000'];['bicycle'];[('bicycle', ['N 3sg'])];[('bicycle', 'N')];Fahrrad;[['Fahrrad']];[''];['372'];[''];[''];aktiv;6/C4;III;s;;ID 6069623
2992;on horseback;['on horseback'];[('on', ['Prep']), ('horseback', ['N 3sg'])];['O5 O62120000'];['on', 'horseback'];[('on', ['Prep']), ('horseback', ['N 3sg'])];[('on', 'Prep'), ('horseback', 'N')];zu Pferd;[['zu Pferd']];[''];['8 1372'];[''];[''];passiv;6/C4;III;ph;;
2993;research;['research'];[('research', ['N 3sg'])];['R2620000'];['research'];[('research', ['N 3sg'])];[('research', 'N')];(Er)forschung, Untersuchung, Recherche;[['forschung'], ['Erforschung'], ['Untersuchung'], ['Recherche']];[''];[['37864'], ['0737864'], ['06278464'], ['7474']];[''];[''];aktiv;6/C4;III;s;For his presentation, Ben did a lot of research on the Internet.;
2994;camp;['camp'];[('camp', ['N 3sg'])];['C510'];['camp'];[('camp', ['N 3sg'])];[('camp', 'N')];(Zelt)lager;[['lager'], ['Zeltlager']];[''];[['547'], ['852547']];[''];[''];aktiv;6/C4;III;s;We hiked all day and went back to the camp in the evening.;
2995;to hike;['to hike'];[('to', ['V TO']), ('hike', ['V INF'])];['T0 T200'];['hike'];[('hike', ['V INF'])];[('hike', 'V')];wandern;[['wandern']];[''];['36276'];[''];[''];aktiv;6/C4;III;v;We hiked all day and went back to the camp in the evening.;
2996;camping (no pl);['camping'];[('camping', ['N 3sg'])];['C515200'];['camp'];[('camp', ['N 3sg'])];[('camp', 'N')];Camping, Zelten;[['Camping'], ['Zelten']];[''];[['46164'], ['8526']];[''];[''];aktiv;6/C4;III;s;I like camping, but only when the weather is nice.;
2997;GPS (= global positioning system);[['GPS'], ['global positioning system']];[[('GPS', ['PropN'])], [('global', ['A']), ('positioning', ['V PROG']), ('system', ['N 3sg'])]];[['G12'], ['G41400 G2355200000 G23500']];[['GPS'], ['global', 'position', 'system']];[[('GPS', ['PropN'])], [('global', ['A']), ('position', ['V PROG']), ('system', ['N 3sg'])]];[[('GPS', 'PropN')], [('global', 'A'), ('position', 'V'), ('system', 'N')]];satellitengestütztes Navigationssystem;[['satellitengestütztes Navigationssystem']];[''];['82526482828 634268826'];[''];[''];passiv;6/C4;III;s;;
2998;hike;['hike'];[('hike', ['N 3sg'])];['H200'];['hike'];[('hike', ['N 3sg'])];[('hike', 'N')];Wanderung;[['Wanderung']];[''];['362764'];[''];[''];aktiv;6/C4;III;s;Tom went on a long hike with his friends. It was very tiring.;
2999;specific;['specific'];[('specific', ['A'])];['S1212000'];['specific'];[('specific', ['A'])];[('specific', 'A')];genau, bestimmte(r, s), spezifisch;[['genau'], ['bestimmte'], ['bestimmter'], ['bestimmtes'], ['spezifisch']];[''];[['46'], ['18262'], ['182627'], ['182628'], ['81838']];[''];[''];passiv;6/C4;III;a;;
3000;goal;['goal'];[('goal', ['N 3sg'])];['G400'];['goal'];[('goal', ['N 3sg'])];[('goal', 'N')];Ziel, Tor;[['Ziel'], ['Tor']];[''];[['85'], ['27']];[''];[''];passiv;6/C4;III;s;;
3001;to supervise;['to supervise'];[('to', ['V TO']), ('supervise', ['V INF'])];['T0 T16120000'];['supervise'];[('supervise', ['V INF'])];[('supervise', 'V')];beaufsichtigen, überwachen;[['beaufsichtigen'], ['überwachen']];[''];[['1384246'], ['017346']];[''];[''];passiv;6/C4;III;v;;
3002;to assess;['to assess'];[('to', ['V TO']), ('assess', ['V INF'])];['T0 T22000'];['assess'];[('assess', ['V INF'])];[('assess', 'V')];(ein)schätzen, beurteilen;[['schätzen'], ['einschätzen'], ['beurteilen']];[''];[['886'], ['06886'], ['17256']];[''];[''];passiv;6/C4;III;v;;
3003;evidence (no pl);['evidence'];[('evidence', ['N 3sg'])];['E1352000'];['evidence'];[('evidence', ['N 3sg'])];[('evidence', 'N')];Beweis(e);[['Beweis'], ['Beweise']];[''];[['138'], ['138']];[''];[''];passiv;6/C4;III;s;;
3004;progress (no pl);['progress'];[('progress', ['N 3sg'])];['P6262000'];['progress'];[('progress', ['N 3sg'])];[('progress', 'N')];Vorwärtskommen, Fortschritt;[['Vorwärtskommen'], ['Fortschritt']];[''];[['37378466'], ['37872']];[''];[''];aktiv;6/C4;III;s;Tim made good progress with his project.;
3005;path;['path'];[('path', ['N 3sg'])];['P300'];['path'];[('path', ['N 3sg'])];[('path', 'N')];Weg, Pfad, Bahn;[['Weg'], ['Pfad'], ['Bahn']];[''];[['34'], ['132'], ['16']];[''];[''];passiv;6/C6;III;s;;
3006;planning (no pl);['planning'];[('planning', ['V PROG'])];['P4552000'];['plan'];[('plan', ['V PROG'])];[('plan', 'V')];Planung, Planungs-;[['Planung'], ['Planungs-'], ['Planungs']];[''];[['15664'], ['156648'], ['156648']];[''];[''];passiv;6/C8;III;s;;
3007;to paddle;['to paddle'];[('to', ['V TO']), ('paddle', ['V INF'])];['T0 T34000'];['paddle'];[('paddle', ['V INF'])];[('paddle', 'V')];paddeln;[['paddeln']];[''];['1256'];[''];[''];passiv;6/C8;III;v;;
3008;simply;['simply'];[('simply', ['Adv'])];['S51400'];['simply'];[('simply', ['Adv'])];[('simply', 'Adv')];einfach, nur;[['einfach'], ['nur']];[''];[['0634'], ['67']];[''];[''];aktiv;6/C8;III;av;This view is simply amazing!;ID 1394769
3009;to be/get sunburnt (irr);[['to be sunburnt'], ['to get sunburnt']];[[('to', ['V TO']), ('be', ['V INF']), ('sunburnt', ['A'])], [('to', ['V TO']), ('get', ['V INF']), ('sunburnt', ['A'])]];[['T0 T0 T5165300'], ['T0 T30 T5165300']];[['be', 'sunburnt'], ['get', 'sunburnt']];[[('be', ['V INF']), ('sunburnt', ['A'])], [('get', ['V INF']), ('sunburnt', ['A'])]];[[('be', 'V'), ('sunburnt', 'A')], [('get', 'V'), ('sunburnt', 'A')]];einen Sonnenbrand haben/bekommen;[['einen Sonnenbrand haben'], ['einen Sonnenbrand bekommen']];[''];[['066 8661762 016'], ['066 8661762 1466']];[''];[''];passiv;6/C8;III;ph;;
3010;canoeing (no pl);['canoeing'];[('canoeing', ['V PROG'])];['C5520000'];['canoe'];[('canoe', ['V PROG'])];[('canoe', 'V')];Kanufahren;[['Kanufahren']];[''];['46376'];[''];[''];aktiv;6/C8;III;s;;
3011;exhausted;['exhausted'];[('exhausted', [['A']])];['E22330000'];['exhaust'];[('exhaust', [['A']])];[('exhaust', 'A')];erschöpft, aufgebraucht;[['erschöpft'], ['aufgebraucht']];[''];[['078132'], ['0341742']];[''];[''];aktiv;6/C8;III;a;After the match the players were completely exhausted.;
3012;rescue;['rescue'];[('rescue', ['N 3sg'])];['R20000'];['rescue'];[('rescue', ['N 3sg'])];[('rescue', 'N')];Rettung(s-);[['Rettung']];[''];['7264'];[''];[''];passiv;6/C8;III;s;;
3013;to slip;['to slip'];[('to', ['V TO']), ('slip', ['V INF'])];['T0 T410'];['slip'];[('slip', ['V INF'])];[('slip', 'V')];ausrutschen, abrutschen;[['ausrutschen'], ['abrutschen']];[''];[['08786'], ['01786']];[''];[''];passiv;6/C8;III;v;;
3014;ankle;['ankle'];[('ankle', ['N 3sg'])];['A5240'];['ankle'];[('ankle', ['N 3sg'])];[('ankle', 'N')];(Fuß)knöchel;[['(Fuß)knöchel'], ['Fußknöchel']];[''];[['38  4645'], ['384645']];[''];[''];aktiv;6/C8;III;s;;ID 5263312
3015;to manage sth;[['to manage'], ['to manage sth']];[[('to', ['V TO']), ('manage', ['V INF'])]];[['T0 T52000'], ['T0 T52000 T30']];[['manage']];[[('manage', ['V INF'])]];[[('manage', 'V')]];etw schaffen;[['etw schaffen']];[''];['023 836'];[''];[''];aktiv;6/C8;III;ph;Julia managed to walk 27 kilometres in one day.;
3016;Gaelic (no pl);['Gaelic'];[('Gaelic', ['A', 'N 3sg'])];['G42000'];['Gaelic'];[('Gaelic', ['A', 'N 3sg'])];[[('Gaelic', 'N')], [('Gaelic', 'A')]];Gälisch, das Gälische, gälisch;[['Gälisch'], ['das Gälische'], ['gälisch']];[''];[['458'], ['28 458'], ['458']];[''];[''];passiv;6/C8;III;s/a;;
3017;to go wrong (irr);['to go wrong'];[('to', ['V TO']), ('go', ['V INF']), ('wrong', ['A'])];['T0 T0 T6520'];['go', 'wrong'];[('go', ['V INF']), ('wrong', ['A'])];[('go', 'V'), ('wrong', 'A')];schiefgehen;[['schiefgehen']];[''];['8346'];[''];[''];aktiv;6/C8;III;ph;;
3018;target;['target'];[('target', ['N 3sg'])];['T62300'];['target'];[('target', ['N 3sg'])];[('target', 'N')];Ziel;[['Ziel']];[''];['85'];[''];[''];passiv;6/C10;III;s;;
